classifier,strategy,n_bins,f1,precision,recall
LogisticRegression,uniform,5,0.6013071895424836,0.8363636363636363,0.46938775510204084
RandomForestClassifier,uniform,5,0.8022598870056498,0.8987341772151899,0.7244897959183674
KNeighborsClassifier,uniform,5,0.7831325301204819,0.9558823529411765,0.6632653061224489
SVC,uniform,5,0.7650273224043715,0.8235294117647058,0.7142857142857143
DecisionTreeClassifier,uniform,5,0.7282608695652174,0.7790697674418605,0.6836734693877551
LogisticRegression,uniform,10,0.6415094339622641,0.8360655737704918,0.5204081632653061
RandomForestClassifier,uniform,10,0.8333333333333334,0.9146341463414634,0.7653061224489796
KNeighborsClassifier,uniform,10,0.8228571428571428,0.935064935064935,0.7346938775510204
SVC,uniform,10,0.8064516129032258,0.8522727272727273,0.7653061224489796
DecisionTreeClassifier,uniform,10,0.7525773195876289,0.7604166666666666,0.7448979591836735
LogisticRegression,uniform,15,0.6289308176100629,0.819672131147541,0.5102040816326531
RandomForestClassifier,uniform,15,0.8522727272727273,0.9615384615384616,0.7653061224489796
KNeighborsClassifier,uniform,15,0.8187134502923976,0.958904109589041,0.7142857142857143
SVC,uniform,15,0.8148148148148148,0.8461538461538461,0.7857142857142857
DecisionTreeClassifier,uniform,15,0.7254901960784313,0.6981132075471698,0.7551020408163265
LogisticRegression,uniform,20,0.6787878787878788,0.835820895522388,0.5714285714285714
RandomForestClassifier,uniform,20,0.8700564971751412,0.9746835443037974,0.7857142857142857
KNeighborsClassifier,uniform,20,0.8488372093023255,0.9864864864864865,0.7448979591836735
SVC,uniform,20,0.8020833333333334,0.8191489361702128,0.7857142857142857
DecisionTreeClassifier,uniform,20,0.7524752475247525,0.7307692307692307,0.7755102040816326
LogisticRegression,uniform,30,0.654320987654321,0.828125,0.5408163265306123
RandomForestClassifier,uniform,30,0.8505747126436781,0.9736842105263158,0.7551020408163265
KNeighborsClassifier,uniform,30,0.847457627118644,0.9493670886075949,0.7653061224489796
SVC,uniform,30,0.8041237113402062,0.8125,0.7959183673469388
DecisionTreeClassifier,uniform,30,0.7246376811594203,0.6880733944954128,0.7653061224489796
LogisticRegression,uniform,50,0.6583850931677019,0.8412698412698413,0.5408163265306123
RandomForestClassifier,uniform,50,0.8651685393258427,0.9625,0.7857142857142857
KNeighborsClassifier,uniform,50,0.8505747126436781,0.9736842105263158,0.7551020408163265
SVC,uniform,50,0.8041237113402062,0.8125,0.7959183673469388
DecisionTreeClassifier,uniform,50,0.7346938775510204,0.7346938775510204,0.7346938775510204
LogisticRegression,quantile,5,0.8021390374331551,0.8426966292134831,0.7653061224489796
RandomForestClassifier,quantile,5,0.8275862068965517,0.9473684210526315,0.7346938775510204
KNeighborsClassifier,quantile,5,0.8114285714285714,0.922077922077922,0.7244897959183674
