Classifier,phase,C,Accuracy,Precision,Recall,F1,max_depth,n_estimators,n_neighbors
LogisticRegression,training,10.0,0.9547967325457712,0.9752168515105684,0.9217342859342288,0.9477216093956077,,,
LogisticRegression,testing,10.0,0.954798197873893,0.9752465567811338,0.9217090202255946,0.9477219293219891,,,
RandomForest,training,,1.0,1.0,1.0,1.0,,100.0,
RandomForest,testing,,0.9998651916750095,0.9997715005115501,0.9999252812939522,0.9998483751899563,,100.0,
KNearest,training,,0.9968837796143097,0.9930944922460643,0.9999428628722666,0.9965069070836888,,,15.0
KNearest,testing,,0.9964637246022472,0.9921635084735495,0.9999428621659634,0.9960379442874794,,,15.0
Support Vector Classifier,training,100000.0,0.9999242924495227,0.9998516821321066,0.999978024181641,0.9999148491176808,,,
Support Vector Classifier,testing,100000.0,0.9994666278494078,0.9989461495795664,0.9998549578059072,0.9994003157359119,,,
DecisionTreeClassifier,training,,1.0,1.0,1.0,1.0,,,
DecisionTreeClassifier,testing,,0.9981048685461331,0.9969553610969963,0.9987869340295983,0.9978703022315694,,,
